# timestamp,step,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
0.0019,0,4.3815,-98.6777,24.5368,-87.5934,-2.6507,1.5430
0.0346,1,4.3815,-98.6777,24.5368,-87.5934,-2.6507,1.5430
0.0683,2,4.3815,-98.6777,24.5368,-87.5934,-2.6507,1.5430
0.1019,3,4.3815,-98.6777,24.5368,-87.5934,-2.6507,1.5430
0.1351,4,4.3815,-98.6777,24.5368,-87.5934,-2.6507,1.5430
0.1685,5,4.3815,-98.6777,24.5368,-87.5934,-2.6507,1.5430
0.2017,6,4.3815,-98.6777,24.5368,-87.5934,-2.6507,1.5430
0.2354,7,4.3815,-98.6777,24.5368,-87.5934,-2.6507,1.5430
0.2688,8,4.3815,-98.6777,24.5368,-87.5934,-2.6507,1.5430
0.3021,9,4.3815,-98.6777,24.5368,-87.5934,-2.6507,1.5430
0.3356,10,4.3815,-98.6777,24.5368,-87.5934,-2.6507,1.5430
0.3690,11,4.3815,-98.6777,24.5368,-87.5934,-2.6507,1.5430
0.4025,12,4.3815,-98.6777,24.5368,-87.5934,-2.6507,1.5430
0.4360,13,4.3815,-98.6777,24.5368,-87.5934,-2.6507,1.5430
0.4693,14,4.3815,-98.6777,24.5368,-87.5934,-2.6507,1.5430
0.5026,15,4.3815,-98.6777,24.5368,-87.5934,-2.6507,1.5430
0.5360,16,4.3815,-98.6777,24.5368,-87.5934,-2.6507,1.5430
0.5694,17,4.3815,-98.6777,24.5368,-87.5934,-2.6507,1.5430
0.6029,18,4.3815,-98.6777,24.5368,-87.5934,-2.6507,1.5430
0.6364,19,4.3815,-98.6777,24.5368,-87.5934,-2.6507,1.5430
0.6697,20,4.3815,-98.6777,24.5368,-87.5934,-2.6507,1.5430
0.7034,21,4.3815,-98.6777,24.5368,-87.5934,-2.6507,1.5430
0.7367,22,4.3815,-98.6777,24.5368,-87.5934,-2.6507,1.5430
0.7703,23,4.3815,-98.6777,24.5368,-87.5934,-2.6507,1.5430
0.8034,24,4.3815,-98.6777,24.5368,-87.5934,-2.6507,1.5430
0.8370,25,4.3815,-98.6777,24.5368,-87.5934,-2.6507,1.5430
0.8700,26,4.3815,-98.6777,24.5368,-87.5934,-2.6507,1.5430
0.9040,27,4.3815,-98.6777,24.5368,-87.5934,-2.6507,1.5430
0.9372,28,4.3815,-98.6777,24.5368,-87.5934,-2.6507,1.5430
0.9706,29,4.3815,-98.6777,24.5368,-87.5934,-2.6507,1.5430
1.0042,30,4.3815,-98.6777,24.5368,-87.5934,-2.6507,1.5430
1.0371,31,4.3815,-98.6777,24.5368,-87.5934,-2.6507,1.5430
1.0710,32,4.3815,-98.6777,24.5368,-87.5934,-2.6507,1.5430
1.1042,33,4.3815,-98.6777,24.5368,-87.5934,-2.5988,1.5430
1.1379,34,4.3815,-98.6777,24.5368,-87.5934,-2.5988,1.5430
1.1710,35,4.3815,-98.6777,24.5368,-87.5934,-2.5988,1.5430
1.2046,36,4.3815,-98.6777,24.5368,-87.5934,-2.5988,1.5430
1.2380,37,4.3815,-98.6777,24.5368,-87.5934,-2.5988,1.5430
1.2714,38,4.3815,-98.6777,24.5368,-87.5934,-2.5988,1.5430
1.3049,39,4.3815,-98.6777,24.5368,-87.5934,-2.5988,1.5430
1.3385,40,4.3815,-98.6777,24.5368,-87.5934,-2.7027,1.5430
1.3719,41,4.3815,-98.6777,24.5368,-87.5934,-2.7027,1.5430
1.4055,42,4.3815,-98.6777,24.5368,-87.5934,-2.7027,1.5430
1.4388,43,4.3815,-98.6777,24.5368,-87.5934,-2.7027,1.5430
1.4722,44,4.3815,-98.6777,24.5368,-87.5934,-2.7027,1.5430
1.5054,45,4.3815,-98.6777,24.4465,-87.5934,-2.7027,1.5430
1.5389,46,4.3815,-98.6777,24.4465,-87.5934,-2.7027,1.5430
1.5723,47,4.3815,-98.6777,24.4465,-87.5934,-2.7027,1.5430
1.6058,48,4.3815,-98.6777,24.4465,-87.5934,-2.7027,1.5430
1.6393,49,4.3815,-98.6777,24.3561,-87.5934,-2.7027,1.5430
1.6727,50,4.3815,-98.6777,24.3561,-87.5934,-2.7027,1.5430
1.7059,51,4.3815,-98.6777,24.3561,-87.5934,-2.7027,1.5430
1.7397,52,4.3815,-98.5124,24.2657,-87.5994,-2.6507,1.5430
1.7731,53,4.3815,-98.3471,24.2657,-87.6176,-2.3389,1.5430
1.8064,54,4.3815,-98.0165,24.2657,-87.6781,-2.2869,1.5430
1.8398,55,4.3815,-97.0248,23.9946,-87.7507,-2.2349,1.5430
1.8730,56,4.3815,-95.2893,22.7293,-87.8232,-2.2349,1.5430
1.9067,57,4.3815,-92.8099,20.6507,-87.8958,-2.2349,1.5430
1.9399,58,4.3815,-89.4215,18.2106,-87.9684,-2.2349,1.5430
1.9734,59,4.3815,-85.7851,15.2282,-88.0410,-2.2349,1.5430
2.0066,60,4.3815,-81.9835,11.8843,-88.1197,-2.2349,1.5430
2.0403,61,4.4591,-78.4298,8.3597,-88.1801,-2.1830,1.5430
2.0737,62,4.4591,-74.7107,4.7447,-88.2346,-2.1830,1.5430
2.1072,63,4.5366,-71.0744,0.5874,-88.2588,-2.1830,1.5430
2.1406,64,4.5366,-67.6033,-3.5698,-88.2588,-2.1830,1.5430
2.1740,65,4.6142,-64.1322,-7.6367,-88.2588,-2.1310,1.5430
2.2074,66,4.6917,-60.9091,-11.6132,-88.2588,-1.9751,1.5430
2.2411,67,5.2346,-58.1818,-15.4993,-88.2588,-1.2994,1.5430
2.2746,68,6.7080,-55.2893,-18.8432,-88.2588,-0.3638,1.5430
2.3079,69,9.0345,-52.7273,-21.7352,-88.2769,0.5198,1.5430
2.3412,70,11.9814,-50.0000,-24.6272,-88.2951,0.9875,1.5430
2.3749,71,15.0834,-47.5207,-27.6096,-88.3193,1.2474,1.5430
2.4083,72,18.3404,-45.1240,-30.0497,-88.3495,1.5593,1.5430
2.4417,73,21.6751,-43.2231,-32.3091,-88.3798,2.0270,1.5430
2.4751,74,24.6219,-41.7355,-34.1166,-88.4221,2.5468,1.5430
2.5084,75,27.4913,-40.7438,-35.3818,-88.4644,3.1705,1.5430
2.5415,76,29.8953,-40.2479,-36.0145,-88.4826,3.8462,1.5430
2.5753,77,32.0667,-40.1653,-36.1952,-88.4826,4.6258,1.5430
2.6087,78,34.0830,-40.1653,-36.1952,-88.4826,5.7173,1.5430
2.6422,79,36.1768,-40.3306,-36.1952,-88.4826,6.9647,1.5430
2.6756,80,38.4257,-40.4132,-36.1048,-88.4826,8.1081,1.5430
2.7090,81,40.5196,-40.4132,-35.9241,-88.4765,8.9917,1.5430
2.7422,82,43.0012,-40.4132,-35.4722,-88.4705,9.8233,1.5430
2.7758,83,45.6378,-40.3306,-35.2915,-88.4463,10.6549,1.5430
2.8093,84,48.2745,-40.1653,-35.0203,-88.4403,11.2786,1.5430
2.8426,85,50.4459,-40.1653,-34.0262,-88.4403,12.0062,1.5430
2.8759,86,52.5397,-40.1653,-32.7610,-88.4463,12.9938,1.5430
2.9095,87,54.3234,-40.1653,-31.2246,-88.4463,14.1372,1.5430
2.9431,88,55.7968,-40.1653,-29.3267,-88.4584,15.4886,1.5430
2.9776,89,57.3478,-40.1653,-27.4288,-88.4644,16.8399,1.5430
3.0099,90,58.7437,-40.0826,-25.4406,-88.4765,18.1913,1.5430
3.0434,91,59.8294,-39.8347,-23.4523,-88.4826,19.4906,1.5430
3.0765,92,60.5273,-38.8430,-22.0063,-88.4826,20.8420,1.5430
3.1107,93,60.9926,-37.6033,-21.3737,-88.4886,21.9854,1.5430
3.1435,94,61.4579,-35.4545,-21.3737,-88.4886,23.0769,1.5430
3.1769,95,61.9232,-33.2231,-21.8256,-88.5189,24.0125,1.5430
3.2104,96,62.4661,-31.5702,-21.6448,-88.6399,24.8441,1.5430
3.2437,97,62.8538,-29.7521,-21.2833,-88.8032,25.4158,1.5430
3.2773,98,63.2416,-27.6033,-21.2833,-88.9907,25.7277,1.5430
3.3107,99,63.7844,-25.7025,-21.2833,-89.1903,25.9875,1.5430
3.3441,100,64.1722,-23.8843,-21.2833,-89.3779,26.1954,1.5430
3.3777,101,64.2497,-22.2314,-21.2833,-89.5412,26.5593,1.5430
3.4111,102,64.3273,-20.8264,-21.2833,-89.6864,26.9751,1.5430
3.4444,103,64.8701,-19.7521,-21.2833,-89.7952,27.5468,1.5430
3.4779,104,65.1803,-18.5950,-21.2833,-89.8497,28.1705,1.5430
3.5114,105,65.3354,-17.3554,-21.2833,-89.8678,28.8981,1.5430
3.5449,106,65.4905,-16.2810,-21.1930,-89.8678,29.7817,1.5430
3.5783,107,66.3435,-14.6281,-21.1026,-89.8678,30.8212,1.5430
3.6115,108,67.0415,-12.6446,-21.1026,-89.8678,31.9647,1.5430
3.6453,109,67.4292,-10.7438,-21.1026,-89.8678,33.3160,1.5430
3.6784,110,68.3598,-8.7603,-21.1026,-89.8678,34.8753,1.5430
3.7118,111,69.1353,-6.6116,-21.1026,-89.8678,36.4865,1.5430
3.7452,112,69.7557,-4.4628,-21.1026,-89.8678,37.9938,1.5430
3.7789,113,70.2986,-2.6446,-21.1026,-89.8678,39.5010,1.5430
3.8124,114,70.4537,-0.8264,-21.1026,-89.8678,40.9044,1.5430
3.8457,115,70.5312,0.9091,-21.1026,-89.8678,42.1518,1.5430
3.8789,116,70.5312,2.3140,-21.1026,-89.8678,43.1393,1.5430
3.9121,117,70.4537,3.4711,-21.1026,-89.8678,43.9189,1.5430
3.9458,118,70.2210,4.7934,-21.1930,-89.8678,44.3867,1.5430
3.9793,119,69.9108,6.1157,-21.2833,-89.8739,44.6985,1.5430
4.0128,120,69.6782,7.4380,-21.4641,-89.8739,45.0624,1.5430
4.0463,121,69.1353,8.6777,-21.7352,-89.8799,45.3742,1.5430
4.0794,122,68.9027,9.7521,-21.7352,-89.9223,45.6341,1.5430
4.1130,123,68.8251,10.6612,-21.6448,-89.9949,45.6861,1.5430
4.1465,124,68.7476,11.6529,-21.6448,-90.0795,45.7380,1.5430
4.1799,125,68.6700,12.6446,-21.6448,-90.1642,45.7900,1.5430
4.2130,126,68.6700,13.5537,-21.6448,-90.2489,45.7900,1.5430
4.2468,127,68.6700,14.3802,-21.6448,-90.3215,45.8420,1.5430
4.2802,128,68.7476,15.0413,-21.6448,-90.3699,46.2578,1.5430
4.3136,129,68.7476,15.7851,-21.6448,-90.3941,47.0894,1.5430
4.3473,130,68.7476,16.4463,-21.6448,-90.4122,48.1289,1.5430
4.3806,131,68.7476,17.1074,-21.6448,-90.4183,49.2204,1.5430
4.4139,132,68.7476,17.7686,-21.6448,-90.4183,50.3119,1.5430
4.4473,133,68.7476,18.4298,-21.6448,-90.4183,51.2474,1.5430
4.4808,134,68.7476,19.0909,-21.6448,-90.4183,52.2349,1.5430
4.5142,135,68.7476,19.7521,-21.6448,-90.4183,53.2744,1.5430
4.5478,136,68.7476,20.3306,-21.6448,-90.4183,54.3659,1.5430
4.5813,137,68.8251,20.9091,-21.4641,-90.4183,55.4054,1.5430
4.6143,138,68.8251,21.3223,-21.2833,-90.4122,56.5489,1.5430
4.6483,139,68.9027,22.1488,-21.1930,-90.4122,57.6403,1.5430
4.6815,140,68.9027,23.0579,-21.1930,-90.4122,58.4200,1.5430
4.7149,141,68.9027,23.8843,-21.1930,-90.4122,58.9917,1.5430
4.7481,142,68.8251,24.7107,-21.1930,-90.4122,59.1476,1.5430
4.7818,143,68.6700,25.5372,-21.1930,-90.4122,59.1476,1.5430
4.8153,144,68.5925,26.4463,-21.1930,-90.4122,59.1476,1.5430
4.8487,145,68.5149,27.3554,-21.1930,-90.4122,58.9397,1.5430
4.8823,146,68.4374,28.2645,-21.1930,-90.4122,58.8877,1.5430
4.9156,147,68.4374,29.1736,-21.1930,-90.4122,58.8358,1.5430
4.9489,148,68.3598,30.1653,-21.1026,-90.4062,58.7838,1.5430
4.9823,149,68.1272,30.9091,-21.0122,-90.4001,58.7318,1.5430
5.0158,150,67.9721,31.5702,-21.0122,-90.3880,58.2640,1.5430
5.0490,151,67.5068,32.0661,-21.0122,-90.3880,57.0686,1.5430
5.0828,152,66.8864,32.3967,-21.0122,-90.3880,55.1975,1.5430
5.1163,153,66.0333,32.7273,-21.0122,-90.3880,53.0146,1.5430
5.1493,154,64.8701,32.8099,-21.0122,-90.3880,50.9356,1.5430
5.1830,155,63.7844,32.8926,-21.0122,-90.3699,48.8565,1.5430
5.2165,156,62.5436,33.2231,-21.0122,-90.3639,47.1414,1.5430
5.2498,157,61.2253,33.5537,-21.0122,-90.3578,45.7380,1.5430
5.2833,158,59.9069,33.6364,-21.0122,-90.3578,44.7505,1.5430
5.3168,159,58.5886,33.7190,-21.0122,-90.3578,43.9709,1.5430
5.3503,160,57.2703,33.9669,-21.0122,-90.3578,43.3472,1.5430
5.3838,161,55.9519,34.1322,-21.1930,-90.3578,42.6715,1.5430
5.4174,162,54.8662,34.2149,-21.3737,-90.3578,42.0478,1.5430
5.4501,163,53.8581,34.2975,-21.4641,-90.3639,41.1123,1.5430
5.4839,164,52.8499,34.3802,-21.4641,-90.3639,40.0728,1.5430
5.5174,165,51.9969,34.4628,-21.4641,-90.3639,39.0333,1.5430
5.5508,166,51.2990,34.5455,-21.5545,-90.3639,37.8898,1.5430
5.5842,167,50.6786,34.8760,-21.7352,-90.3639,36.7464,1.5430
5.6176,168,50.2133,35.1240,-21.8256,-90.3699,35.7588,1.5430
5.6514,169,49.9806,35.1240,-21.8256,-90.3699,34.8753,1.5430
5.6844,170,49.7480,35.2066,-21.8256,-90.3820,33.9917,1.5430
5.7179,171,49.7480,35.2893,-21.9160,-90.4062,33.0042,1.5430
5.7513,172,49.7480,35.5372,-22.2775,-90.4183,31.9127,1.5430
5.7849,173,49.9806,35.7025,-23.2716,-90.4183,30.6133,1.5430
5.8184,174,50.3684,36.2810,-24.3561,-90.4183,29.0541,1.5430
5.8517,175,50.9112,36.5289,-25.9828,-90.4183,27.1830,1.5430
5.8846,176,51.6867,36.9421,-27.3385,-90.4183,25.2079,1.5430
5.9184,177,52.5397,37.0248,-29.0556,-90.4183,23.1809,1.5430
5.9519,178,53.5479,37.1074,-30.5920,-90.4183,21.1019,1.5430
5.9853,179,54.6336,37.1074,-31.9476,-90.4183,19.0748,1.5430
6.0187,180,55.7968,37.1074,-33.3936,-90.4183,16.8399,1.5430
6.0521,181,57.0376,37.0248,-34.6588,-90.4183,14.5530,1.5430
6.0857,182,58.5111,36.9421,-35.6530,-90.4183,12.2661,1.5430
6.1187,183,59.9069,36.6942,-36.5567,-90.4183,10.1871,1.5430
6.1524,184,61.3804,36.4463,-37.0990,-90.4183,8.0042,1.5430
6.1858,185,62.6987,36.2810,-37.4605,-90.4122,6.1331,1.5430
6.2193,186,63.9395,35.7851,-38.0027,-90.4122,4.6258,1.5430
6.2528,187,65.0252,35.2066,-38.1835,-90.4062,3.2225,1.5430
6.2863,188,65.9558,34.5455,-38.2738,-90.4062,2.0270,1.5430
6.3195,189,66.6537,33.5537,-38.2738,-90.4062,1.1435,1.5430
6.3529,190,67.0415,32.4793,-38.2738,-90.4062,0.4678,1.5430
6.3863,191,67.1190,31.2397,-38.2738,-90.4062,0.0000,1.5430
6.4200,192,67.1190,29.7521,-38.2738,-90.4001,-0.2599,1.5430
6.4534,193,67.0415,28.0165,-38.2738,-90.4001,-0.4678,1.5430
6.4868,194,66.8864,26.1983,-38.2738,-90.4001,-0.7277,1.5430
6.5203,195,66.6537,24.5455,-38.2738,-90.4001,-1.1954,1.5430
6.5536,196,66.4986,22.8926,-38.2738,-90.4062,-1.9231,1.5430
6.5867,197,66.4211,21.5702,-38.2738,-90.4062,-2.5988,1.5430
6.6204,198,66.4211,20.4132,-38.3642,-90.4062,-3.2744,1.5430
6.6539,199,66.4211,19.3388,-38.3642,-90.4062,-3.6902,1.5430
6.6874,200,66.4986,18.4298,-38.3642,-90.4062,-3.9501,1.5430
6.7206,201,66.5762,17.6860,-38.3642,-90.4062,-4.1060,1.5430
6.7544,202,66.5762,16.9421,-38.3642,-90.4001,-4.1060,1.5430
6.7878,203,66.5762,16.2810,-38.3642,-90.4001,-4.1060,1.5430
6.8209,204,66.5762,15.6198,-38.3642,-90.4062,-4.1060,1.5430
6.8545,205,66.5762,14.9587,-38.3642,-90.4062,-4.1060,1.5430
6.8878,206,66.5762,14.2975,-38.4546,-90.4122,-4.1060,1.5430
6.9215,207,66.6537,13.5537,-38.5450,-90.4122,-4.1060,1.5430
6.9548,208,66.8088,13.0579,-39.0872,-90.4122,-4.1060,1.5430
6.9883,209,66.9639,12.9752,-39.8102,-90.4122,-4.1060,1.5430
7.0218,210,67.1190,12.9752,-41.1658,-90.4062,-4.1060,1.5430
7.0549,211,67.3517,12.9752,-42.5215,-90.4062,-4.1060,1.5430
7.0884,212,67.8170,12.9752,-43.6963,-90.4001,-4.0541,1.5430
7.1215,213,67.8945,12.9752,-44.9616,-90.4001,-4.0541,1.5430
7.1553,214,68.2823,12.9752,-46.2268,-90.4001,-4.0021,1.5430
7.1887,215,68.4374,12.9752,-47.4921,-90.4001,-3.9501,1.5430
7.2222,216,68.5925,12.9752,-48.7573,-90.4001,-3.8462,1.5430
7.2553,217,68.7476,12.9752,-50.1130,-90.4001,-3.7942,1.5430
7.2893,218,68.9802,12.8926,-51.3782,-90.3941,-3.7422,1.5430
7.3227,219,68.9802,12.4793,-52.3723,-90.3941,-3.7422,1.5430
7.3558,220,68.9802,12.1488,-53.0050,-90.3941,-3.7422,1.5430
7.3893,221,68.9802,11.6529,-53.6376,-90.3941,-3.7942,1.5430
7.4229,222,68.9802,10.9917,-53.9087,-90.3941,-3.8981,1.5430
7.4564,223,68.8251,10.3306,-53.9087,-90.3941,-3.9501,1.5430
7.4897,224,68.5925,9.6694,-53.9087,-90.3820,-4.0021,1.5430
7.5232,225,68.3598,9.0909,-53.9087,-90.3759,-4.0021,1.5430
7.5564,226,67.8945,8.6777,-53.9087,-90.3639,-4.0021,1.5430
7.5898,227,67.1966,8.1818,-53.9087,-90.3578,-4.0021,1.5430
7.6234,228,66.6537,7.4380,-53.9087,-90.3518,-4.0541,1.5430
7.6568,229,65.8007,6.6942,-53.9087,-90.3518,-4.0541,1.5430
7.6903,230,64.9477,5.7851,-53.9087,-90.3518,-4.0541,1.5430
7.7238,231,64.1722,4.8760,-53.9087,-90.3518,-4.0541,1.5430
7.7572,232,63.3191,4.0496,-53.9087,-90.3518,-4.1060,1.5430
7.7903,233,62.8538,3.3884,-53.9087,-90.3518,-4.1580,1.5430
7.8241,234,62.3885,2.8099,-53.9087,-90.3518,-4.1580,1.5430
7.8573,235,61.8457,2.3140,-53.9087,-90.3518,-4.2100,1.5430
7.8909,236,61.7681,1.8182,-53.9087,-90.3518,-4.2100,1.5430
7.9244,237,61.3028,1.3223,-53.9087,-90.3518,-4.2100,1.5430
7.9577,238,60.7600,0.7438,-53.9087,-90.3518,-4.2100,1.5430
7.9914,239,60.2171,0.0826,-53.9087,-90.3518,-4.2100,1.5430
8.0248,240,59.3641,-0.4959,-53.9087,-90.3518,-4.2100,1.5430
8.0582,241,58.2009,-1.2397,-53.9087,-90.3518,-4.2100,1.5430
8.0915,242,57.0376,-1.8182,-53.9087,-90.3518,-4.2100,1.5430
8.1249,243,55.7193,-2.4793,-53.9087,-90.3518,-4.2100,1.5430
8.1585,244,54.3234,-3.1405,-53.9087,-90.3518,-4.2100,1.5430
8.1920,245,52.8499,-3.7190,-53.9087,-90.3518,-4.1580,1.5430
8.2254,246,51.4541,-4.2149,-53.9087,-90.3518,-4.1580,1.5430
8.2586,247,50.2133,-4.6281,-53.9087,-90.3518,-4.1580,1.5430
8.2922,248,48.8949,-5.0413,-53.9087,-90.3518,-4.1580,1.5430
